"id","occCount"
"2820-79-00",2
"2820-79-10",7
"2820-79-11",5
"2820-83-11",1
"2820-84-01",1
"2820-85-10",3
"2820-85-11",1
"2820-87-01",1
"2820-87-10",1
"2820-87-11",1
"2820-89-00",4
"2820-89-01",2
"2820-95-01",1
"2820-96-00",1
"2820-96-01",1
"2820-96-10",3
"2820-96-11",37
"2820-97-01",3
"2820-97-10",1
"2820-97-11",1
"2820-98-11",1
"2821-01-01",9
"2821-02-00",1
"2821-03-00",2
"2821-04-01",1
"2821-10-01",1
"2821-10-10",2
"2821-13-01",32
"2821-13-11",3
"2821-14-00",28
"2821-14-10",1
"2821-14-11",1
"2821-15-10",15
"2821-22-10",1
"2821-23-00",1
"2821-23-01",27
"2821-23-11",12
"2821-24-00",1
"2821-25-00",1
"2821-30-11",1
"2821-33-00",1
"2821-33-01",1
"2821-33-11",1
"2821-34-00",2
"2821-44-11",1
"2821-45-00",1
"2821-51-11",1
"2821-53-00",1
"2821-54-00",3
"2821-55-01",1
"2821-55-10",1
"2821-55-11",1
"2821-60-01",1
"2821-60-10",1
"2821-60-11",2
"2821-64-11",3
"2821-65-00",2
"2821-65-10",5
"2821-65-11",1
"2821-71-01",3
"2821-75-00",1
"2821-75-01",3
"2821-75-11",8
"2821-76-00",2
"2821-76-10",2
"2821-80-01",2
"2821-80-10",1
"2821-81-00",3
"2821-81-01",1
"2821-81-11",4
"2821-82-10",2
"2821-85-01",2
"2821-90-00",2
"2821-91-01",5
"2821-91-11",1
"2821-92-00",1
"2821-92-01",4
"2821-92-10",1
"2821-92-11",19
"2821-93-00",6
"2821-93-10",4
"2821-96-10",2
"2918-22-10",1
"2918-32-01",1
"2918-33-00",3
"2918-33-01",1
"2918-34-01",1
"2918-34-10",3
"2918-44-00",1
"2919-19-11",1
"2920-04-00",2
"2920-05-01",3
"2920-06-00",1
"2920-06-10",1
"2920-06-11",1
"2920-07-00",4
"2920-07-01",6
"2920-07-10",4
"2920-07-11",1
"2920-08-10",1
"2920-08-11",1
"2920-09-00",2
"2920-09-01",2
"2920-09-10",1
"2920-09-11",8
"2920-15-10",3
"2920-15-11",2
"2920-16-01",1
"2920-16-10",1
"2920-17-01",1
"2920-17-11",1
"2920-18-00",2
"2920-18-01",2
"2920-18-10",1
"2920-19-00",6
"2920-19-10",2
"2920-27-00",1
"2920-27-01",1
"2920-27-11",1
"2920-28-00",8
"2920-28-10",2
"2920-29-11",1
"2920-36-01",1
"2920-36-11",1
"2920-37-00",1
"2920-37-01",2
"2920-37-11",1
"2920-38-11",1
"2920-46-00",3
"2920-47-00",4
"2920-47-01",1
"2920-48-00",1
"2920-48-01",1
"2920-48-10",1
"2920-48-11",1
"2920-49-00",2
"2920-49-10",3
"2920-49-11",1
"2920-57-11",2
"2920-58-00",1
"2920-58-10",1
"2920-68-01",7
"2920-79-00",1
"2920-79-01",3
"2920-79-10",3
"2920-79-11",5
"2920-89-11",25
"2920-97-01",1
"2921-00-00",1
"2921-00-10",1
"2921-02-01",2
"2921-02-10",3
"2921-03-00",3
"2921-03-01",4
"2921-03-10",1
"2921-04-00",2
"2921-04-01",2
"2921-05-00",1
"2921-05-01",2
"2921-06-00",2
"2921-06-01",3
"2921-06-11",4
"2921-07-10",2
"2921-10-00",5
"2921-17-00",2
"2921-17-10",1
"2921-17-11",2
"2921-22-00",1
