"id","rightsHolder","datasetName","basisOfRecord","year","month","latitude","longitude","coordinatePrecision","coordinateUncertaintyInMeters","type","taxon_id","taxonRank","taxaSubGroup","kingdom","phylum","class","order","family","genus","scientificName","is_terrestrial","is_freshwater","is_brackish","is_marine","simple_scientificName"
"6481712180233a0021442ac0","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2006","02",23.38673,120.45478,1e-05,,"land","t0074835","species","Algae","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Monoraphidium","Monoraphidium circinale",,"true",,,"Monoraphidium circinale"
"6481712180233a0021442cfd","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2010","06",24.30005,120.91985,1e-05,,"land","t0073603","species","Algae","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Mesotaeniaceae","Cylindrocystis","Cylindrocystis crassa","true","true",,,"Cylindrocystis crassa"
"645af8b20d1f13005d3c6461","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","03",23.26236,119.65705,,,"sea","t0073765","species","Algae","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","Dudresnaya","Dudresnaya japonica",,,,"true","Dudresnaya japonica"
"645a0852a6de000056992dcc","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2016","06",23.25064,119.67442,,,"sea","t0059091","species","Algae","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Rhizophyllidaceae","Portieria","Portieria hornemannii",,,,"true","Portieria hornemannii"
"645a439b0d1f13002f1d7a31","臺灣國家公園生物多樣性資料庫","澎湖南方四島藻類相及無脊椎生物相調查","Occurrence","2017","03",23.25064,119.67442,,,"sea","t0074355","species","Algae","Plantae","Rhodophyta","Florideophyceae","Acrosymphytales","Schimmelmanniaceae","Hypnea","Hypnea pannosa",,,,"true","Hypnea pannosa"
"6481712180233a0021442c88","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2009","10",24.29273,120.93349,1e-05,,"land","t0073603","species","Algae","Plantae","Charophyta","Conjugatophyceae","Zygnematales","Mesotaeniaceae","Cylindrocystis","Cylindrocystis crassa","true","true",,,"Cylindrocystis crassa"
"6481712c80233a0021444ed7","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2013","11",24.41159,120.86688,1e-05,,"land","t0075140","species","Algae","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Pediastrum","Pediastrum duplex",,,,,"Pediastrum duplex"
"6481712c80233a0021444e5c","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2014","01",24.4668,120.88588,1e-05,,"land","t0075140","species","Algae","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Hydrodictyaceae","Pediastrum","Pediastrum duplex",,,,,"Pediastrum duplex"
"6481712180233a0021442d1e","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2012","10",22.8024,120.27999,1e-05,,"land","t0074839","species","Algae","Plantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Monoraphidium","Monoraphidium komarkovae",,"true",,,"Monoraphidium komarkovae"
"6481712080233a00214428ed","河川環境資料庫","Investigation Current Status of River in Taiwan between 2002 to 2020","Occurrence","2005","10",23.4145,120.50707,1e-05,,"land","t0073304","species","Algae","Plantae","Charophyta","Conjugatophyceae","Desmidiales","Closteriaceae","Closterium","Closterium acerosum",,,,,"Closterium acerosum"
