"taxaSubGroup","allOccCount"
"Algae",12
"Amphibians",95
"Angiosperms",75
"Arachnid",90
"Ascomycota",93
"Basidiomycota",86
"Beetles",92
"Bilvalves",42
"Birds",75
"Cephalopods",74
"Chromista",17
"Cnidarian",17
"Echinoderms",22
"Ferns",80
"Fishes",44
"Gastropods",80
"Gymnosperms",79
"Lepidoptera",87
"Malacostracans",50
"Mammals",70
"Mosses",87
"Other animals",92
"Other anthropods",67
"Other fungi",98
"Other insects",82
"Other molluscs",87
"Other plants",79
"Protozoa",42
"Reptiles",76
