"taxonRank","count","proportion"
"species",19201292,91.9788135311083
"non-Linnaean",1071222,5.1314113960884
"family",279101,1.33696101467265
"genus",227001,1.0873894657909
"order",85972,0.411826587340917
"class",9508,0.0455456101107039
"phylum",1080,0.00517346013037024
"kingdom",601,0.00287893475773381
