"taxonID","taxonRank","taxaSubGroup","family","unrecorded","recorded"
"t0026339","species","Ferns","Lycopodiaceae","Phlegmariurus","Phlegmariurus changii"
"t0026361","species","Ferns","Ophioglossaceae","Ophioglossum","Ophioglossum parvifolium"
"t0026454","species","Ferns","Plagiogyriaceae","Plagiogyria","Plagiogyria pycnophylla"
"t0026569","species","Ferns","Pteridaceae","Haplopteris","Haplopteris capillaris"
"t0026608","species","Ferns","Dennstaedtiaceae","Paesia","Paesia luzonica"
"t0026677","species","Ferns","Dryopteridaceae","Dryopteris","Dryopteris nyingchiensis"
"t0026715","species","Ferns","Dryopteridaceae","Polystichum","Polystichum pseudodeltodon"
"t0026823","species","Ferns","Polypodiaceae","Lepisorus","Lepisorus kuchenensis"
"t0026851","species","Ferns","Polypodiaceae","Neolepisorus","Neolepisorus platyphyllus"
"t0026917","species","Ferns","Aspleniaceae","Asplenium","Asplenium subtrialatum"
"t0026961","species","Ferns","Thelypteridaceae","Cyclogramma","Cyclogramma leveillei"
"t0027070","species","Other insects","Cicadellidae","Anatkina","Anatkina hopponis"
"t0027072","species","Other insects","Cicadellidae","Atkinsoniella","Atkinsoniella rinkihonis"
"t0027074","species","Other insects","Cicadellidae","Cicadella","Cicadella viridis"
"t0027075","species","Other insects","Cicadellidae","Erragonalia","Erragonalia buysi"
"t0027076","species","Other insects","Cicadellidae","Cofana","Cofana nigrilinea"
"t0027078","species","Other insects","Cicadellidae","Cofana","Cofana subvirescens"
"t0027079","species","Other insects","Cicadellidae","Cofana","Cofana unimaculata"
"t0027080","species","Other insects","Cicadellidae","Kolla","Kolla insignis"
"t0027081","species","Other insects","Cicadellidae","Kolla","Kolla paulula"
"t0027083","species","Basidiomycota","Mycenaceae","Mycena","Mycena diplazii"
"t0027086","species","Other insects","Calliphoridae","Idiella","Idiella euidielloides"
"t0027087","species","Other insects","Calliphoridae","Idiella","Idiella mandarina"
"t0027088","species","Other insects","Calliphoridae","Idiellopsis","Idiellopsis xanthogaster"
"t0027091","species","Coleoptera","Cerambycidae","Idiostrangalia","Idiostrangalia rarasanensis"
"t0027093","species","Arachnida","Idiozetidae","Idiozetes","Idiozetes erectus"
"t0027100","species","Other insects","Aphididae","Impatientinum","Impatientinum impatiens"
"t0027101","species","Coleoptera","Curculionidae","Indocryphalus","Indocryphalus pubipennis"
"t0027102","species","Coleoptera","Curculionidae","Indocurculio","Indocurculio hirashimai"
"t0027104","species","Reptiles","Testudinidae","Indotestudo","Indotestudo elongata"
"t0027112","species","Fishes","Labridae","Iniistius","Iniistius trivittatus"
"t0027121","species","Gastropods","Pseudomelatomidae","Inquisitor","Inquisitor zonata"
"t0027122","species","Coleoptera","Malachiidae","Intybia","Intybia erectodentatus"
"t0027125","species","Lepidoptera","Autostichidae","Irepacma","Irepacma conioxantha"
"t0027127","species","Other insects","Ischnopsyllidae","Ischnopsyllus","Ischnopsyllus indicus"
"t0027128","species","Other insects","Blattellidae","Centrocolumna","Centrocolumna acuminata"
"t0027129","species","Other insects","Blattellidae","Episymploce","Episymploce sundaica"
"t0027132","species","Arachnida","Oonopidae","Ischnothyreus","Ischnothyreus peltifer"
"t0027135","species","Fishes","Notocheiridae","Iso","Iso rhothophilus"
"t0027139","species","Other insects","Sphecidae","Isodontia","Isodontia formosicola"
"t0027140","species","Other insects","Sphecidae","Isodontia","Isodontia maidli"
"t0027144","species","Bivalves","Isognomonidae","Isognomon","Isognomon isognomum"
"t0027148","species","Other insects","Calliphoridae","Isomyia","Isomyia delectans"
"t0027149","species","Other insects","Calliphoridae","Isomyia","Isomyia electa"
"t0027150","species","Other insects","Calliphoridae","Isomyia","Isomyia tibialis"
"t0027151","species","Other insects","Calliphoridae","Isomyia","Isomyia viridaurea"
"t0027153","species","Other insects","Tachinidae","Isosturmia","Isosturmia intermedia"
"t0027154","species","Other insects","Tachinidae","Isosturmia","Isosturmia inversa"
"t0027155","species","Other insects","Tachinidae","Isosturmia","Isosturmia picta"
"t0027156","species","Lepidoptera","Sesiidae","Isothamnis","Isothamnis prisciformis"
"t0027158","species","Lepidoptera","Lecithoceridae","Issikiopteryx","Issikiopteryx zonosphaera"
"t0027162","species","Fishes","Blenniidae","Istiblennius","Istiblennius muelleri"
"t0027173","species","Other insects","Empididae","Iteaphila","Iteaphila nitidula"
"t0027175","species","Other insects","Ichneumonidae","Itoplectis","Itoplectis naranyae"
"t0027180","species","Arachnida","Ixodidae","Ixodes","Ixodes hexagonus"
"t0027181","species","Arachnida","Ixodidae","Ixodes","Ixodes ovatus"
"t0027182","species","Arachnida","Ixodidae","Ixodes","Ixodes ricinus"
"t0027183","species","Arachnida","Ixodidae","Ixodes","Ixodes simplex"
"t0027184","species","Arachnida","Ixodidae","Ixodes","Ixodes vespertilionis"
"t0027186","species","Malacostraca","Oplophoridae","Janicella","Janicella spinicauda"
"t0027188","species","Other insects","Tachinidae","Janthinomyia","Janthinomyia felderi"
"t0027190","species","Fishes","Congridae","Japonoconger","Japonoconger sivicolus"
"t0027191","species","Coleoptera","Rhynchitidae","Japonorhynchites","Japonorhynchites bisulcatus"
"t0027198","species","Lepidoptera","Geometridae","Jodis","Jodis undularia"
"t0027205","species","Malacostraca","Corystidae","Jonas","Jonas formosae"
"t0027209","species","Bivalves","Pholadidae","Jouannetia","Jouannetia globulosa"
"t0027216","species","Other insects","Derbidae","Kaha","Kaha perplexa"
"t0027217","species","Fishes","Istiophoridae","Kajikia","Kajikia audax"
"t0027219","species","Lepidoptera","Notodontidae","Kamalia","Kamalia harutai"
"t0027223","species","Other insects","Aphididae","Kaochiaoja","Kaochiaoja arthraxonis"
"t0027229","species","Malacostraca","Squillidae","Kempina","Kempina stridulans"
"t0027232","species","Other insects","Kerriidae","Kerria","Kerria greeni"
"t0027233","species","Other insects","Coccidae","Kilifia","Kilifia acuminata"
"t0027236","species","Fishes","Pinguipedidae","Kochichthys","Kochichthys flavofasciatus"
"t0027240","species","Other insects","Cixiidae","Kotonisia","Kotonisia kanoi"
"t0027241","species","Fishes","Gobiidae","Koumansetta","Koumansetta hectori"
"t0027245","species","Malacostraca","Xanthidae","Kraussia","Kraussia rugulosa"
"t0027246","species","Other animals","Krohnittidae","Krohnitta","Krohnitta pacifica"
"t0027247","species","Other arthropods","Paradoxosomatidae","Kronopolites","Kronopolites formosanus"
"t0027248","species","Coleoptera","Malachiidae","Kuatunia","Kuatunia alutaceus"
"t0027257","species","Other insects","Diaspididae","Kuwanaspis","Kuwanaspis annandalei"
"t0027258","species","Other insects","Diaspididae","Kuwanaspis","Kuwanaspis bambusifoliae"
"t0027259","species","Other insects","Diaspididae","Kuwanaspis","Kuwanaspis elongata"
"t0027260","species","Other insects","Diaspididae","Kuwanaspis","Kuwanaspis neolinearis"
"t0027261","species","Other insects","Diaspididae","Kuwanaspis","Kuwanaspis phragmitis"
"t0027262","species","Other insects","Diaspididae","Kuwanaspis","Kuwanaspis pseudoleucaspis"
"t0027263","species","Other insects","Diaspididae","Kuwanaspis","Kuwanaspis suishana"
"t0027264","species","Other insects","Diaspididae","Kuwanaspis","Kuwanaspis vermiformis"
"t0027267","species","Arachnida","Filistatidae","Labahitha","Labahitha marginata"
"t0027268","species","Other arthropods","Pontellidae","Labidocera","Labidocera rotunda"
"t0027273","species","Other insects","Lachesillidae","Lachesilla","Lachesilla pedicularia"
"t0027274","species","Malacostraca","Xanthidae","Lachnopodus","Lachnopodus bidentatus"
"t0027276","species","Coleoptera","Elateridae","Lacon","Lacon kikuchii"
"t0027286","species","Gastropods","Strombidae","Lambis","Lambis millepeda"
"t0027289","species","Malacostraca","Parthenopidae","Lambrachaeus","Lambrachaeus ramifer"
"t0027292","species","Malacostraca","Homolidae","Lamoha","Lamoha longirostris"
"t0027293","species","Fishes","Myctophidae","Lampadena","Lampadena luminosa"
"t0027295","species","Fishes","Myctophidae","Lampanyctus","Lampanyctus tenuiformis"
"t0027296","species","Fishes","Myctophidae","Lampanyctus","Lampanyctus turneri"
"t0027298","species","Fishes","Lampridae","Lampris","Lampris guttatus"
"t0027302","species","Echinoderms","Mariametridae","Lamprometra","Lamprometra palmata"
"t0027303","species","Reptiles","Colubridae","Lampropeltis","Lampropeltis getula"
"t0027307","species","Coleoptera","Elateridae","Lanelater","Lanelater pescadorensis"
"t0027310","species","Coleoptera","Chrysomelidae","Lanka","Lanka nigra"
"t0027311","species","Other insects","Asilidae","Laphria","Laphria vulcanus"
"t0027319","species","Other insects","Halictidae","Lasioglossum","Lasioglossum pallilomus"
"t0027320","species","Other insects","Muscidae","Lasiopelta","Lasiopelta longicornis"
"t0027321","species","Arachnida","Blattisociidae","Lasioseius","Lasioseius parberlesei"
"t0027328","species","Lepidoptera","Blastobasidae","Lateantenna","Lateantenna spermologa"
"t0027330","species","Coleoptera","Lycidae","Laterialis","Laterialis oculatus"
"t0027331","species","Coleoptera","Lycidae","Laterialis","Laterialis shirozui"
"t0027333","species","Bivalves","Laternulidae","Laternula","Laternula attenuata"
"t0027334","species","Bivalves","Laternulidae","Laternula","Laternula boschasina"
"t0027336","species","Arachnida","Dictynidae","Lathys","Lathys humilis"
"t0027340","species","Arachnida","Theridiidae","Latrodectus","Latrodectus hasselti"
"t0027343","species","Cephalopods","Cranchiidae","Leachia","Leachia pacifica"
"t0027344","species","Other animals","Lecanidae","Lecane","Lecane hornemanni"
"t0027345","species","Other animals","Lecanidae","Lecane","Lecane ohioensis"
"t0027346","species","Other animals","Lecanidae","Lecane","Lecane papuana"
"t0027347","species","Lepidoptera","Lecithoceridae","Lecitholaxa","Lecitholaxa indigens"
"t0027348","species","Other insects","Diaspididae","Ledaspis","Ledaspis atalantiae"
"t0027350","species","Other insects","Thripidae","Lefroyothrips","Lefroyothrips lefroyi"
"t0027351","species","Malacostraca","Galatheidae","Leiogalathea","Leiogalathea laevirostris"
"t0027357","species","Coleoptera","Cerambycidae","Lemula","Lemula cyanipennis"
"t0027361","species","Cnidarians","Diphyidae","Lensia","Lensia achilles"
"t0027362","species","Cnidarians","Diphyidae","Lensia","Lensia campanella"
"t0027363","species","Cnidarians","Diphyidae","Lensia","Lensia fowleri"
"t0027364","species","Cnidarians","Diphyidae","Lensia","Lensia multicristata"
"t0027365","species","Protozoa","Physaraceae","Leocarpus","Leocarpus fragilis"
"t0027366","species","Other animals","Brachionidae","Lepadella","Lepadella acuminata"
"t0027367","species","Other animals","Brachionidae","Lepadella","Lepadella ovalis"
"t0027369","species","Fishes","Apogonidae","Lepidamia","Lepidamia kalosoma"
"t0027372","species","Lepidoptera","Pyralidae","Lepidogma","Lepidogma melanolopha"
"t0027373","species","Other animals","Polynoidae","Lepidonotus","Lepidonotus squamatus"
"t0027375","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes conchiformis"
"t0027376","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes cycadicola"
"t0027377","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes garambiensis"
"t0027378","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes glaucae"
"t0027379","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes gloverii"
"t0027380","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes laterochitinosa"
"t0027381","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes pallida"
"t0027382","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes pini"
"t0027383","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes pinnaeformis"
"t0027384","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes pitysophila"
"t0027385","species","Other insects","Diaspididae","Lepidosaphes","Lepidosaphes ulmi"
"t0027389","species","Other insects","Trogiidae","Lepinotus","Lepinotus inquilinus"
"t0027393","species","Coleoptera","Staphylinidae","Leptacinus","Leptacinus gracilis"
"t0027394","species","Coleoptera","Staphylinidae","Leptacinus","Leptacinus parumpunctatus"
"t0027395","species","Coleoptera","Attelabidae","Leptapoderus","Leptapoderus friedrichi"
"t0027396","species","Coleoptera","Attelabidae","Leptapoderus","Leptapoderus sejugatus"
"t0027398","species","Fishes","Aulopidae","Leptaulopus","Leptaulopus damasi"
"t0027399","species","Lepidoptera","Tortricidae","Lepteucosma","Lepteucosma ceriodes"
"t0027401","species","Other insects","Ichneumonidae","Leptobatopsis","Leptobatopsis indica"
"t0027404","species","Other insects","Encyrtidae","Leptomastix","Leptomastix dactylopii"
"t0027405","species","Other insects","Milichiidae","Leptometopa","Leptometopa latipes"
"t0027407","species","Other insects","Empididae","Leptopeza","Leptopeza biplagiata"
"t0027410","species","Other insects","Sciaridae","Leptosciarella","Leptosciarella dolichocorpa"
"t0027411","species","Other insects","Sciaridae","Leptosciarella","Leptosciarella perturbata"
"t0027413","species","Coleoptera","Cerambycidae","Leptostrangalia","Leptostrangalia shirakii"
"t0027414","species","Other insects","Tettigoniidae","Leptoteratura","Leptoteratura albicornis"
"t0027416","species","Other insects","Tachinidae","Leptothelaira","Leptothelaira meridionalis"
"t0027420","species","Other insects","Lestidae","Lestes","Lestes concinnus"
"t0027422","species","Cnidarians","Micrabaciidae","Letepsammia","Letepsammia formosissima"
"t0027423","species","Fishes","Lethrinidae","Lethrinus","Lethrinus erythropterus"
"t0027438","species","Arachnida","Tetragnathidae","Leucauge","Leucauge grata"
"t0027441","species","Malacostraca","Leucosiidae","Leucosia","Leucosia anatum"
"t0027445","species","Malacostraca","Squillidae","Levisquilla","Levisquilla inermis"
"t0027455","species","Gastropods","Turridae","Lienardia","Lienardia compta"
"t0027456","species","Gastropods","Turridae","Lienardia","Lienardia lischkeana"
"t0027457","species","Gastropods","Turridae","Lienardia","Lienardia planilabrum"
"t0027458","species","Gastropods","Haminoeidae","Liloa","Liloa curta"
"t0027460","species","Gastropods","Limacinidae","Limacina","Limacina trochiformis"
"t0027462","species","Bivalves","Limidae","Limaria","Limaria hirasei"
"t0027465","species","Other insects","Muscidae","Limnophora","Limnophora beckeri"
"t0027466","species","Bivalves","Limopsidae","Limopsis","Limopsis belcheri"
"t0027468","species","Echinoderms","Ophidiasteridae","Linckia","Linckia guildingi"
"t0027470","species","Other insects","Tachinidae","Linnaemya","Linnaemya lateralis"
"t0027471","species","Other insects","Tachinidae","Linnaemya","Linnaemya vulpinoides"
"t0027472","species","Fishes","Linophrynidae","Linophryne","Linophryne indica"
"t0027473","species","Echinoderms","Palaeopneustidae","Linopneustes","Linopneustes murrayi"
"t0027475","species","Malacostraca","Xanthidae","Liomera","Liomera bella"
"t0027476","species","Malacostraca","Xanthidae","Liomera","Liomera cinctimana"
"t0027478","species","Malacostraca","Xanthidae","Liomera","Liomera margaritata"
"t0027479","species","Malacostraca","Xanthidae","Liomera","Liomera monticulosa"
"t0027480","species","Malacostraca","Xanthidae","Liomera","Liomera rubra"
"t0027481","species","Other insects","Formicidae","Lioponera","Lioponera huode"
"t0027485","species","Fishes","Serranidae","Liopropoma","Liopropoma maculatum"
"t0027488","species","Other insects","Phlaeothripidae","Liothrips","Liothrips brevitubus"
"t0027489","species","Other insects","Phlaeothripidae","Liothrips","Liothrips kuwayamai"
"t0027490","species","Other insects","Phlaeothripidae","Liothrips","Liothrips takahashii"
"t0027495","species","Other insects","Liposcelidae","Liposcelis","Liposcelis bostrychophila"
"t0027496","species","Other insects","Agromyzidae","Liriomyza","Liriomyza huidobrensis"
"t0027497","species","Coleoptera","Chrysomelidae","Liroetis","Liroetis cheni"
"t0027498","species","Coleoptera","Chrysomelidae","Liroetis","Liroetis jungchani"
"t0027499","species","Coleoptera","Chrysomelidae","Liroetis","Liroetis liui"
"t0027500","species","Coleoptera","Chrysomelidae","Liroetis","Liroetis metallipennis"
"t0027501","species","Coleoptera","Chrysomelidae","Liroetis","Liroetis rufipennis"
"t0027502","species","Coleoptera","Chrysomelidae","Liroetis","Liroetis tsoui"
"t0027503","species","Coleoptera","Chrysomelidae","Liroetis","Liroetis yuae"
"t0027504","species","Other insects","Muscidae","Lispe","Lispe bivittata"
"t0027505","species","Other insects","Muscidae","Lispe","Lispe flavicornis"
"t0027506","species","Other insects","Muscidae","Lispe","Lispe kowarzi"
"t0027507","species","Other insects","Muscidae","Lispe","Lispe leucospila"
"t0027509","species","Other insects","Muscidae","Lispe","Lispe patellitarsis"
"t0027511","species","Other insects","Muscidae","Lispe","Lispe pygmaea"
"t0027512","species","Other insects","Muscidae","Lispe","Lispe sericipalpis"
"t0027513","species","Other insects","Muscidae","Lispocephala","Lispocephala atrimaculata"
"t0027515","species","Malacostraca","Porcellanidae","Lissoporcellana","Lissoporcellana spinuligera"
"t0027519","species","Other arthropods","Lithobiidae","Lithobius","Lithobius holstii"
"t0027520","species","Other arthropods","Lithobiidae","Lithobius","Lithobius obtusus"
"t0027521","species","Other arthropods","Lithobiidae","Lithobius","Lithobius ramulosus"
"t0027522","species","Other arthropods","Lithobiidae","Lithobius","Lithobius sachalinus"
"t0027523","species","Other arthropods","Lithobiidae","Lithobius","Lithobius sulcipes"
"t0027524","species","Coleoptera","Staphylinidae","Lithocharis","Lithocharis nigriceps"
"t0027525","species","Bivalves","Mytilidae","Lithophaga","Lithophaga straminea"
"t0027526","species","Cnidarians","Fungiidae","Lithophyllon","Lithophyllon concinna"
"t0027529","species","Coleoptera","Phalacridae","Litostilbus","Litostilbus festivus"
"t0027530","species","Other insects","Phlaeothripidae","Litotetothrips","Litotetothrips rotundus"
"t0027552","species","Other insects","Lonchopteridae","Lonchoptera","Lonchoptera orientalis"
"t0027559","species","Lepidoptera","Tortricidae","Lopharcha","Lopharcha angustior"
"t0027565","species","Gastropods","Turridae","Lophiotoma","Lophiotoma notata"
"t0027571","species","Other insects","Diaspididae","Lopholeucaspis","Lopholeucaspis japonica"
"t0027575","species","Malacostraca","Pilumnidae","Lophopilumnus","Lophopilumnus dilatipes"
"t0027577","species","Other insects","Myopsocidae","Lophopterygella","Lophopterygella camelina"
"t0027578","species","Other insects","Tachinidae","Lophosia","Lophosia angusticauda"
"t0027579","species","Other insects","Tachinidae","Lophosia","Lophosia excisa"
"t0027580","species","Other insects","Tachinidae","Lophosia","Lophosia hamulata"
"t0027581","species","Other insects","Tachinidae","Lophosia","Lophosia ocypterina"
"t0027582","species","Other insects","Tachinidae","Lophosia","Lophosia perpendicularis"
"t0027583","species","Fishes","Lophotidae","Lophotus","Lophotus guntheri"
"t0027585","species","Fishes","Moridae","Lotella","Lotella phycis"
"t0027595","species","Malacostraca","Hymenosomatidae","Lucascinus","Lucascinus coralicola"
"t0027601","species","Other insects","Calliphoridae","Lucilia","Lucilia papuensis"
"t0027604","species","Echinoderms","Luidiidae","Luidia","Luidia quinaria"
"t0027605","species","Lepidoptera","Tortricidae","Lumaria","Lumaria probolias"
"t0027608","species","Bivalves","Cardiidae","Lunulicardia","Lunulicardia retusa"
"t0027610","species","Malacostraca","Portunidae","Lupocyclus","Lupocyclus philippinensis"
"t0027618","species","Fishes","Lutjanidae","Lutjanus","Lutjanus ehrenbergii"
"t0027637","species","Bivalves","Mactridae","Lutraria","Lutraria maxima"
"t0027638","species","Bivalves","Mactridae","Lutraria","Lutraria sieboldii"
"t0027639","species","Other insects","Culicidae","Lutzia","Lutzia fuscana"
"t0027640","species","Other insects","Culicidae","Lutzia","Lutzia halifaxii"
"t0027643","species","Malacostraca","Xanthidae","Lybia","Lybia caestifera"
"t0027646","species","Coleoptera","Cantharidae","Lycocerus","Lycocerus chujoi"
"t0027649","species","Coleoptera","Cantharidae","Lycocerus","Lycocerus lalaensis"
"t0027650","species","Coleoptera","Cantharidae","Lycocerus","Lycocerus maculiceps"
"t0027651","species","Coleoptera","Cantharidae","Lycocerus","Lycocerus maculithorax"
"t0027653","species","Coleoptera","Cantharidae","Lycocerus","Lycocerus nanshanensis"
"t0027655","species","Coleoptera","Cantharidae","Lycocerus","Lycocerus shimomurai"
"t0027656","species","Coleoptera","Cantharidae","Lycocerus","Lycocerus taoyuanus"
"t0027657","species","Coleoptera","Cantharidae","Lycocerus","Lycocerus wulaianus"
"t0027660","species","Protozoa","Enteridiaceae","Lycogala","Lycogala flavofuscum"
"t0027664","species","Other insects","Miridae","Lygocoris","Lygocoris pabulinus"
"t0027668","species","Lepidoptera","Lyonetiidae","Lyonetia","Lyonetia clerkella"
"t0027669","species","Malacostraca","Lyreididae","Lyreidus","Lyreidus tridentatus"
"t0027670","species","Bivalves","Teredinidae","Lyrodus","Lyrodus pedicellatus"
"t0027671","species","Other insects","Osmylidae","Lysmus","Lysmus ogatai"
"t0027673","species","Other insects","Coccidae","Maacoccus","Maacoccus bicruciatus"
"t0027674","species","Other insects","Coccidae","Maacoccus","Maacoccus scolopiae"
"t0027676","species","Lepidoptera","Pyralidae","Macalla","Macalla baibarana"
"t0027678","species","Protozoa","Stemonitidaceae","Macbrideola","Macbrideola martinii"
"t0027679","species","Other insects","Callaphididae","Machilaphis","Machilaphis machili"
"t0027680","species","Other insects","Asilidae","Machimus","Machimus albibarbis"
"t0027681","species","Other insects","Asilidae","Machimus","Machimus asiaticus"
"t0027682","species","Other insects","Asilidae","Machimus","Machimus impeditus"
"t0027694","species","Malacostraca","Inachidae","Macrocheira","Macrocheira kaempferi"
"t0027700","species","Coleoptera","Lycidae","Macrolycus","Macrolycus flabellatus"
"t0027701","species","Malacostraca","Xanthidae","Macromedaeus","Macromedaeus crassimanus"
"t0027703","species","Other insects","Tetrigidae","Macromotettixoides","Macromotettixoides taiwanensis"
"t0027704","species","Other insects","Aphididae","Macromyzus","Macromyzus woodwardiae"
"t0027705","species","Other insects","Sarcophagidae","Macronychia","Macronychia griseola"
"t0027708","species","Echinoderms","Ophiotrichidae","Macrophiothrix","Macrophiothrix propinqua"
"t0027713","species","Other insects","Aphididae","Macrosiphoniella","Macrosiphoniella sanborni"
"t0027714","species","Other insects","Aphididae","Macrosiphum","Macrosiphum clematifoliae"
"t0027716","species","Arachnida","Macrothelidae","Macrothele","Macrothele simplicata"
"t0027718","species","Lepidoptera","Drepanidae","Macrothyatira","Macrothyatira conspicua"
"t0027719","species","Gastropods","Mangeliidae","Macteola","Macteola anomala"
"t0027720","species","Gastropods","Mangeliidae","Macteola","Macteola interrupta"
"t0027723","species","Bivalves","Mactridae","Mactra","Mactra maculata"
"t0027724","species","Bivalves","Mactridae","Mactrotoma","Mactrotoma depressa"
"t0027726","species","Cnidarians","Oculinidae","Madrepora","Madrepora oculata"
"t0027731","species","Other insects","Asilidae","Maira","Maira aenea"
"t0027738","species","Coleoptera","Scarabaeidae","Maladera","Maladera infuscata"
"t0027739","species","Coleoptera","Scarabaeidae","Maladera","Maladera parva"
"t0027741","species","Lepidoptera","Pyralidae","Maliarpha","Maliarpha rosella"
"t0027745","species","Bivalves","Malleidae","Malleus","Malleus malleus"
"t0027749","species","Coleoptera","Cantharidae","Malthinus","Malthinus shimomurai"
"t0027753","species","Lepidoptera","Pyralidae","Mampava","Mampava bipunctella"
"t0027760","species","Lepidoptera","Nolidae","Manoba","Manoba suffusata"
"t0027762","species","Other insects","Mycetophilidae","Manota","Manota meilingae"
"t0027765","species","Malacostraca","Benthesicymidae","Maorrancaris","Maorrancaris investigatoris"
"t0027767","species","Lepidoptera","Crambidae","Marasmia","Marasmia trapezalis"
"t0027772","species","Other insects","Pseudophyllodromiidae","Margattea","Margattea perspicillaris"
"t0027774","species","Other insects","Aphelinidae","Marietta","Marietta carnesi"
"t0027786","species","Arachnida","Leptonetidae","Masirana","Masirana changlini"
"t0027788","species","Other insects","Dolichopodidae","Mastigomyia","Mastigomyia gratiosa"
"t0027795","species","Lepidoptera","Tortricidae","Matsumuraeses","Matsumuraeses phaseoli"
"t0027796","species","Other insects","Aphididae","Matsumuraja","Matsumuraja rubifoliae"
"t0027799","species","Malacostraca","Matutidae","Matuta","Matuta planipes"
"t0027800","species","Reptiles","Geoemydidae","Mauremys","Mauremys japonica"
"t0027820","species","Other arthropods","Mecistocephalidae","Mecistocephalus","Mecistocephalus diversisternus"
"t0027822","species","Other arthropods","Mecistocephalidae","Mecistocephalus","Mecistocephalus punctifrons"
"t0027826","species","Coleoptera","Rhynchitidae","Mecorhis","Mecorhis pilositessellata"
"t0027829","species","Other insects","Phlaeothripidae","Mecynothrips","Mecynothrips kanoi"
"t0027831","species","Lepidoptera","Pyralidae","Medaniaria","Medaniaria kosemponella"
"t0027832","species","Other insects","Dolichopodidae","Medetera","Medetera grisescens"
"t0027833","species","Other insects","Dolichopodidae","Medetera","Medetera longa"
"t0027834","species","Other insects","Dolichopodidae","Medetera","Medetera vivida"
"t0027836","species","Bivalves","Carditidae","Megacardita","Megacardita ferruginosa"
"t0027837","species","Other insects","Megachilidae","Megachile","Megachile abluta"
"t0027839","species","Other insects","Megachilidae","Megachile","Megachile crassepunctata"
"t0027841","species","Other insects","Megachilidae","Megachile","Megachile rixator"
"t0027843","species","Other insects","Tettigoniidae","Megaconema","Megaconema geniculata"
"t0027846","species","Cephalopods","Cranchiidae","Megalocranchia","Megalocranchia abyssicola"
"t0027847","species","Lepidoptera","Noctuidae","Megaloctena","Megaloctena mandarina"
"t0027848","species","Coleoptera","Staphylinidae","Megalopaederus","Megalopaederus flavoterminatus"
"t0027854","species","Lepidoptera","Nolidae","Meganola","Meganola pulverata"
"t0027855","species","Lepidoptera","Nolidae","Meganola","Meganola simplex"
"t0027856","species","Lepidoptera","Nolidae","Meganola","Meganola suisharyonensis"
"t0027858","species","Fishes","Serranidae","Meganthias","Meganthias kingyo"
"t0027859","species","Other insects","Coccidae","Megapulvinaria","Megapulvinaria maxima"
"t0027862","species","Other insects","Dolichopodidae","Megistostylus","Megistostylus longicornis"
"t0027863","species","Coleoptera","Cerambycidae","Megobaralipton","Megobaralipton mandibulare"
"t0027866","species","Other insects","Chloropidae","Meijerella","Meijerella inaequalis"
"t0027869","species","Gastropods","Ellobiidae","Melampus","Melampus fasciatus"
"t0027870","species","Gastropods","Ellobiidae","Melampus","Melampus sincaporensis"
"t0027871","species","Other insects","Agromyzidae","Melanagromyza","Melanagromyza albisquama"
"t0027872","species","Other insects","Agromyzidae","Melanagromyza","Melanagromyza sojae"
"t0027873","species","Other insects","Aphididae","Melanaphis","Melanaphis formosana"
"t0027874","species","Other insects","Diaspididae","Melanaspis","Melanaspis smilacis"
"t0027877","species","Lepidoptera","Tortricidae","Melanodaedala","Melanodaedala melanoneura"
"t0027880","species","Fishes","Microstomatidae","Melanolagus","Melanolagus bericoides"
"t0027883","species","Other insects","Blattidae","Melanozosteria","Melanozosteria soror"
"t0027884","species","Lepidoptera","Autostichidae","Meleonoma","Meleonoma argometra"
"t0027887","species","Bivalves","Melliterycidae","Melliteryx","Melliteryx puncticulata"
"t0027888","species","Mammals","Mustelidae","Melogale","Melogale subaurantiaca"
"t0027889","species","Other insects","Coccidae","Membranaria","Membranaria sacchari"
"t0027897","species","Arachnida","Theridiidae","Meotipa","Meotipa vesiculosa"
"t0027898","species","Other insects","Pseudocaeciliidae","Mepleres","Mepleres transversus"
"t0027904","species","Lepidoptera","Tortricidae","Meridemis","Meridemis invalidana"
"t0027906","species","Bivalves","Mactridae","Meropesta","Meropesta capillacea"
"t0027907","species","Other insects","Sepsidae","Meroplius","Meroplius minutus"
"t0027908","species","Birds","Meropidae","Merops","Merops viridis"
"t0027911","species","Other insects","Syrphidae","Mesembrius","Mesembrius wulpi"
"t0027913","species","Other insects","Eupelmidae","Mesocomys","Mesocomys albitarsis"
"t0027914","species","Other insects","Cicadellidae","Mesoparopia","Mesoparopia guttulinervis"
"t0027915","species","Other insects","Cicadellidae","Mesoparopia","Mesoparopia lata"
"t0027927","species","Arachnida","Sclerosomatidae","Metadentobunus","Metadentobunus garampiensis"
"t0027928","species","Malacostraca","Dynomenidae","Metadynomene","Metadynomene tanensis"
"t0027929","species","Echinoderms","Brissidae","Metalia","Metalia spatagus"
